"precursor","successor","kind","wait","enabled"
"(SELECT id from core.task where name = 'GL Accounts Dimension - CND')","(SELECT id from core.task where name = 'Resource Details Dimension - CND')","KEY",f,t
"(SELECT id from core.task where name = 'Suppliers Dimension - CHQ')","(SELECT id from core.task where name = 'AP Transaction Fact - CHQ')","KEY",f,t
"(SELECT id from core.task where name = 'Suppliers Dimension - CHQ')","(SELECT id from core.task where name = 'PO Transaction Fact - CHQ')","KEY",f,t
"(SELECT id from core.task where name = 'Resource Details Dimension - NED')","(SELECT id from core.task where name = 'Installed Items Dimension - NED')","KEY",f,t
"(SELECT id from core.task where name = 'Resource Details Dimension - NED')","(SELECT id from core.task where name = 'Order Details Fact - NED')","KEY",f,t
"(SELECT id from core.task where name = 'Account Party Dimension - SED')","(SELECT id from core.task where name = 'Account Sites Dimension - SED')","KEY",f,t
"(SELECT id from core.task where name = 'GL Accounts Dimension - MAD')","(SELECT id from core.task where name = 'Resource Details Dimension - MAD')","KEY",f,t
"(SELECT id from core.task where name = 'GL Accounts Dimension - NWD')","(SELECT id from core.task where name = 'Resource Details Dimension - NWD')","KEY",f,t
"(SELECT id from core.task where name = 'Account Party Dimension - CND')","(SELECT id from core.task where name = 'Account Sites Dimension - CND')","KEY",f,t
"(SELECT id from core.task where name = 'Account Party Dimension - CND')","(SELECT id from core.task where name = 'Installed Items Dimension - CND')","KEY",f,t
"(SELECT id from core.task where name = 'Account Sites Dimension - FLD')","(SELECT id from core.task where name = 'Installed Items Dimension - FLD')","KEY",f,t
"(SELECT id from core.task where name = 'Account Sites Dimension - FLD')","(SELECT id from core.task where name = 'Order Details Fact - FLD')","KEY",f,t
"(SELECT id from core.task where name = 'Resource Details Dimension - GLD')","(SELECT id from core.task where name = 'Installed Items Dimension - GLD')","KEY",f,t
"(SELECT id from core.task where name = 'Resource Details Dimension - GLD')","(SELECT id from core.task where name = 'Order Details Fact - GLD')","KEY",f,t
"(SELECT id from core.task where name = 'Suppliers Dimension - CAD')","(SELECT id from core.task where name = 'AP Transaction Fact - CAD')","KEY",f,t
"(SELECT id from core.task where name = 'Suppliers Dimension - CAD')","(SELECT id from core.task where name = 'PO Transaction Fact - CAD')","KEY",f,t
"(SELECT id from core.task where name = 'Account Party Dimension - FLD')","(SELECT id from core.task where name = 'Account Sites Dimension - FLD')","KEY",f,t
"(SELECT id from core.task where name = 'Account Party Dimension - FLD')","(SELECT id from core.task where name = 'Installed Items Dimension - FLD')","KEY",f,t
"(SELECT id from core.task where name = 'Account Sites Dimension - TLD')","(SELECT id from core.task where name = 'Order Details Fact - TLD')","KEY",f,t
"(SELECT id from core.task where name = 'GL Accounts Dimension - NED')","(SELECT id from core.task where name = 'Resource Details Dimension - NED')","KEY",f,t
"(SELECT id from core.task where name = 'Master Item Dimension - eIKON')","(SELECT id from core.task where name = 'Installed Items Dimension - eIKON')","KEY",f,t
"(SELECT id from core.task where name = 'Master Item Dimension - eIKON')","(SELECT id from core.task where name = 'Organization Item Dimension - eIKON')","KEY",f,t
"(SELECT id from core.task where name = 'Master Item Dimension - eIKON')","(SELECT id from core.task where name = 'AR Transaction Fact - eIKON')","KEY",f,t
"(SELECT id from core.task where name = 'Master Item Dimension - eIKON')","(SELECT id from core.task where name = 'Contracts Top Line Fact - eIKON')","KEY",f,t
"(SELECT id from core.task where name = 'Master Item Dimension - eIKON')","(SELECT id from core.task where name = 'Debrief Details Fact - eIKON')","KEY",f,t
